ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Microglia_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MorphologicalSkeleton,ObjectSkeleton_NumberNonTrunkBranches_MorphologicalSkeleton,ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,ObjectSkeleton_TotalObjectSkeletonLength_MorphologicalSkeleton,Group
1,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,859,1386,423,165,381,132,402.1024447,148.3084983,859,-1.02E-12,91284.98487,-57787.91308,3.41E-13,-34537.14785,5908.256136,-7133354.145,52135.24796,35693.94454,5791899.653,5639296.605,1.339027234,924,0.844196419,33.0713285,1,0.61976912,0.7468108,0.1943677,0.011578194,6.24E-05,1.98E-06,-1.81E-11,-1.79E-07,1.25E-11,129.6959926,37.26586167,106.2688997,40.20622567,40.20622567,60.69295456,45.55365937,45.27692569,11.66190379,4.860034782,4.472135955,24.91093725,24.41830843,nan,nan,0.12371234,-0.002672109,nan,-0.046805851,0.000273197,-0.011254191,0.07065536,0.001650485,0.009137798,0.000303563,-0.001241224,-0.007059572,-0.000332364,-0.001449799,-59.77178821,120.2253967,0.92965368,859,18127,473809,13793413,14009,261087,6275385,172050993,280601,4830563,109181469,2853111521,0.533518424,0.023761807,0.18378338,0.095189645,0.01839565,0.00396835,0.011972587,0.040462928,0.034103802,0.003432882,0.006975828,0.003654331,0.011657878,0.014886678,0.011419207,0.016382623,0.010856469,0.003494344,0.005645863,0.002423054,0.007734615,0.013462955,0.013789543,0.004197423,0.00962502,0.002478983,0.006818185,0.0072257,0.004066935,0.001319931,1,402.1024447,148.3084983,0,1,32,29,5,717.6660981,KO_MD
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1064,2300,890,235,844,185,868.2556391,212.7490602,1064,5.47E-13,126724.4662,-257954.9601,-2.53E-12,106543.2556,-597068.5762,29092682.4,174467.9991,-804447.0728,31954251.63,-319392920,2.05801411,1312,0.91683757,36.80661456,1,0.462608696,0.485905318,0.26604852,0.037206435,0.004438197,0.001887725,5.44E-06,0.00036241,-5.31E-07,244.1551317,38.92049353,119.1019419,-100.1346388,-100.1346388,163.9736833,62.50185683,60.95900262,13,4.543108454,4,29.39407703,24.95451655,nan,nan,0.111937915,-0.006985376,nan,0.094111503,-0.016168515,0.024152322,0.154110605,-0.02178429,0.026527955,-0.008128859,-0.016389614,0.030973998,-0.009629478,0.00866251,38.68552559,165.882251,0.81097561,1064,25808,752714,24147170,29525,822691,25458587,843756823,993759,29212763,928881467,31309050695,0.364565898,0.047290792,0.130123178,0.085308314,0.035561344,0.012935167,0.034742119,0.051055307,0.033152443,0.001108583,0.012608396,0.007566846,0.024646743,0.009922054,0.01400328,0.018219319,0.013374431,0.00782066,0.011973442,0.004176246,0.008781455,0.006958457,0.010767847,0.009207504,0.01068846,0.006341561,0.004962796,0.012888648,0.006402925,0.001904395,1,868.2556391,212.7490602,0,2,20,16,6,509.6295157,KO_MD
1,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1116,2130,843,222,772,192,802.5905018,204.0259857,1116,-3.34E-12,416785.8593,3227520.821,-4.97E-13,-84040.12455,-638597.8807,-55223508.42,51482.24642,-164710.127,20417214.11,118742029.4,2.402056186,1383,0.961247784,37.69529589,1,0.523943662,0.416309995,0.375981252,0.104243039,0.010552329,0.005537476,4.22E-05,0.00177096,3.11E-06,389.9572719,29.63780495,373.4640316,75.3047711,75.3047711,46.13104518,78.98934327,71.38627319,11.40175425,4.039046733,3.605551275,25.84369642,21.77624576,nan,nan,0.33464519,0.077572639,nan,-0.067477393,-0.015348537,-0.039731175,0.041336062,-0.003958766,0.014689395,0.002557289,0.004463963,-0.006164186,0.000196238,-0.003066851,-77.64615795,183.5391052,0.806941432,1116,34139,1461115,73423139,13421,326515,11791091,533228119,212883,4326157,130802281,5210206681,0.278833464,0.037908787,0.084856697,0.08357318,0.018581466,0.013560164,0.022117536,0.055822417,0.035581177,0.003469801,0.009602191,0.007652146,0.019600317,0.023443597,0.023784252,0.01741216,0.001219386,0.004500889,0.008899965,0.005324467,0.011190584,0.016276246,0.009011378,0.007837679,0.010190548,0.001822538,0.002639161,0.008233891,0.00842562,0.003534118,1,802.5905018,204.0259857,0,3,39,42,5,1371.508819,KO_MD
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1057,1512,1225,292,1183,256,1202.406812,273.8041627,1057,9.52E-13,107491.071,137840.9508,-2.32E-12,26176.21003,-7954.562559,6847961.29,84122.46168,-123433.9404,7123677.725,-11268349.69,1.265291476,1110,0.678670662,36.68534038,1,0.699074074,0.790331729,0.17150477,0.002633191,0.000195713,7.56E-07,-9.10E-12,-3.80E-08,1.30E-12,117.7600492,63.52049261,101.6944853,-24.76462633,-24.76462633,79.58605647,43.40692095,46.14108798,15.26433752,5.686058606,5,32.96098833,31.87989777,nan,nan,0.096210488,0.003794817,nan,0.023429164,-0.000218992,0.005798776,0.075294282,-0.003398186,0.00603225,-0.000293493,-0.000554521,0.002731007,-0.000178843,0.000594782,57.02730275,129.6396103,0.952252252,1057,20513,505583,14121713,18819,391393,10009521,287385913,419179,8943585,230173757,6635782785,0.632134429,0.039256873,0.196657634,0.062091458,0.014411022,0.012895897,0.026951895,0.010336394,0.038687818,0.018224602,0.013465102,0.005962135,0.026348086,0.013415486,0.007595021,0.015428109,0.006075419,0.001749464,0.010524298,0.003745268,0.007283552,0.004609713,0.016724772,0.003369796,0.012085064,0.009059086,0.005956798,0.002227346,0.002537431,0.001451462,1,1202.406812,273.8041627,0,4,18,14,6,436.7178266,KO_MD
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1059,1862,163,308,125,259,146.7365439,285.4258735,1059,-3.98E-13,78303.49575,-313737.0362,-3.70E-12,-16457.1813,160027.8261,-2837061.011,133092.9311,303186.0987,5453722.366,5391123.858,1.571418521,1210,0.681406899,36.72003102,1,0.568743287,0.636367706,0.188497555,0.00324813,0.001871484,9.63E-05,2.30E-08,4.53E-06,-3.38E-08,129.9869166,69.63199445,73.94097805,15.5403034,15.5403034,125.677933,45.60472197,48.09365863,14.31782106,5.147537891,4.472135955,34.6,33.37831498,nan,nan,0.069821509,-0.008596584,nan,-0.014674507,0.004384859,-0.002388806,0.118676046,0.008307482,0.004592035,0.00013949,-0.014194253,-0.002741897,6.01E-05,-0.000215008,-15.49752141,144.6101731,0.875206612,1059,23019,578657,15668361,27985,591840,14736100,398321484,872621,18401160,456254496,12267989748,0.571643943,0.062409061,0.171188553,0.064026361,0.018433635,0.04087024,0.008374366,0.027044501,0.035102685,0.018981205,0.02431292,0.023800745,0.006949729,0.01386187,0.011816131,0.020328782,0.010479291,0.005172513,0.0125386,0.008015314,0.011863301,0.01015628,0.006640645,0.004020251,0.00241977,0.008434877,0.002765437,0.006187447,0.006913575,0.011525626,1,146.7365439,285.4258735,0,5,18,22,8,672.683342,KO_MD
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1608,2812,1569,357,1531,283,1550.78296,315.8283582,1608,-1.71E-13,101993.2531,-210060.7738,-2.00E-11,2824.097015,-752574.8111,3843686.116,609728.6269,180705.1278,30411201.92,-45422944.2,2.808130809,1997,0.91255334,45.2478639,1,0.571834993,0.356108767,0.275256909,0.038564207,0.002939812,0.000610138,8.06E-07,0.000119748,1.37E-07,379.1942378,63.41887162,63.42863999,-1.756279238,-1.756279238,379.1844694,77.89164143,73.24616031,12.64911064,4.435885432,4.123105626,36.89101596,31.8543866,nan,nan,0.039445672,-0.002025955,nan,0.001092213,-0.007258294,0.000924464,0.235811237,0.001742831,0.007314345,-0.000272442,0.031957652,-0.000540897,-0.001412574,9.72E-05,0.318674203,238.2081528,0.805207812,1608,31811,731309,18292853,52788,1047127,23366837,563019307,2342672,46711113,1022244999,23944127889,0.381615878,0.050867022,0.116188537,0.091058585,0.023451029,0.021104028,0.021847541,0.053056601,0.027942543,0.017535248,0.021296715,0.007880042,0.029073248,0.017681015,0.012519476,0.017913304,0.006733088,0.006967918,0.013397521,0.00114555,0.010835974,0.009081558,0.006807942,0.012208778,0.012416693,0.00192315,0.009491734,0.006557923,0.004889585,0.001625351,1,1550.78296,315.8283582,0,6,7,7,7,176.9238842,KO_MD
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,710,1190,1618,320,1583,286,1601.891549,302.3183099,710,6.36E-13,50502.6493,-70074.95072,-1.83E-12,22420.50986,4132.890871,2602513.576,45048.06197,41807.9571,2731621.364,6012182.991,1.390844382,788,0.801246444,30.06659403,1,0.596638655,0.718987698,0.189547136,0.008029652,0.000214369,1.24E-05,-6.20E-10,-1.10E-06,-1.53E-10,99.100189,35.47827757,71.13049197,-31.5781829,-31.5781829,63.44797461,39.81963114,38.01315562,10.81665383,4.373474613,4,23.25955564,23.82545784,nan,nan,0.100183792,-0.005216953,nan,0.044476314,0.000307686,0.007271399,0.089363345,0.003112527,0.007632125,0.000630417,0.002514962,0.008484022,0.000540541,0.001142792,48.4677724,111.3969696,0.901015228,710,13413,303895,7579119,11586,241298,5810302,150520166,234112,5196276,129093744,3403559040,0.613024627,0.020479829,0.165008731,0.1049043,0.024080857,0.014899234,0.002130922,0.030268608,0.018157171,0.00404034,0.013302414,0.021480403,0.007988628,0.019784751,0.006628592,0.013287049,0.014621522,0.008486609,0.008326414,0.01369272,0.009664764,0.006739471,0.012690628,0.007703927,0.008897793,0.005687864,0.002398419,0.001466878,0.006010286,0.004353736,1,1601.891549,302.3183099,0,7,5,3,7,123.7106792,KO_MD
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1132,2058,1824,328,1775,286,1801.204947,306.6457597,1132,-5.97E-13,156762.4523,-487463.726,-1.83E-12,10763.18375,730225.6544,-1197650.678,106634.9496,203768.8811,12367587.19,7821693.562,2.060301268,1423,0.585798548,37.96455142,1,0.550048591,0.48536591,0.205550545,0.001812463,0.003770012,0.000184604,-7.14E-08,-6.46E-06,-1.36E-07,140.4379474,92.24526988,138.4827317,-9.508112849,-9.508112849,94.20048555,47.40260708,48.25971405,12.04159458,4.472413626,4,38.03255705,38.41776045,nan,nan,0.122334569,-0.011306449,nan,0.008399393,0.016937177,-0.00082564,0.083215977,0.004726306,0.008526007,0.000160265,-0.005049975,0.002836178,0.00191257,0.000331558,78.37987659,171.1959595,0.79550246,1132,29664,934106,32206638,23371,623199,20579651,743312643,589147,16086763,547878043,20283281431,0.593034912,0.096111271,0.107943129,0.035324493,0.046067748,0.073159611,0.016708284,0.027308917,0.028932909,0.008582775,0.026214896,0.014129527,0.013320701,0.012007058,0.010038135,0.01887434,0.002001582,0.001682416,0.018763941,0.005169344,0.010121713,0.007747832,0.014954431,0.009802835,0.01032091,0.002793081,0.009658831,0.008679472,0.00514637,0.007562362,1,1801.204947,306.6457597,0,8,17,15,7,483.7888944,KO_MD
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,718,900,809,520,784,484,795.3328691,501.1295265,718,-1.40E-12,29585.44429,15020.27943,-1.35E-12,-4278.956825,-3851.737657,-250868.9927,59820.95404,-36026.07943,2029985.731,-1086780.417,1.22220808,757,0.721197247,30.23550881,1,0.797777778,0.818191286,0.173428198,0.003715403,9.03E-05,7.11E-06,1.48E-10,2.56E-07,1.02E-10,84.14324566,40.37820048,41.20535416,5.959549895,5.959549895,83.31609198,36.69185101,36.76955262,12.04159458,4.83232114,4.123105626,24,25.41753741,nan,nan,0.057389073,0.001087344,nan,-0.008300209,-0.000278834,-0.000677756,0.116039125,-0.00260799,0.00548428,-0.000109574,0.002468865,-0.002848755,0.000224281,-0.00020798,-7.901865688,105.0121933,0.948480845,718,8137,121801,2065951,12299,135104,1985556,33358250,270497,2882888,41180804,677749190,0.673891923,0.063395259,0.167621369,0.083573083,0.0171324,0.005938469,0.026216048,0.022566473,0.022158734,0.020047285,0.011928269,0.016783886,0.008232358,0.018403999,0.010043631,0.011692952,0.009411087,0.006307892,0.017312021,0.006940797,5.48E-05,0.008710839,0.004739419,0.003946292,0.005433911,0.008108637,0.002725376,0.00676394,0.000899557,0.003346848,1,795.3328691,501.1295265,0,9,34,29,5,1219.643813,KO_MD
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1238,2438,1089,538,1036,492,1061.221325,515.3408724,1238,-2.05E-12,221953.357,458019.2862,-2.73E-12,-130579.399,-392101.5423,-45736337.06,149480.1519,161194.3302,35175317.13,192124940.4,1.668153703,1382,0.91854114,39.70227394,1,0.507793273,0.599465144,0.242348196,0.031271331,0.000561919,0.000160838,4.65E-08,2.59E-05,1.32E-08,259.4756484,40.55141859,179.2838102,105.4760897,105.4760897,120.7432568,64.43299135,62.62587325,12.20655562,5.089440174,5,26.95422632,25.4719983,nan,nan,0.144817294,0.008493411,nan,-0.08519878,-0.007271047,-0.024104573,0.097530902,0.002989153,0.018538564,0.002877806,0.001886941,-0.016488892,-0.002119671,-0.004736966,-52.75483417,161.0954544,0.895803184,1238,31224,1009464,37113954,28896,598216,16582898,541677136,823938,14846328,362559322,10626341856,0.401904782,0.036637905,0.149264048,0.089547819,0.018939664,0.023248305,0.039542526,0.05335661,0.032554677,0.005967353,0.022328675,0.01173866,0.018725119,0.011120838,0.013872177,0.015572062,0.004940284,0.00466548,0.01126567,0.005895964,0.001402085,0.001679413,0.007379022,0.006977034,0.009460101,0.003122732,0.002956781,0.004479216,0.004598027,0.003533444,1,1061.221325,515.3408724,0,10,29,28,5,803.6244677,KO_MD
