ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_Microglia_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MorphologicalSkeleton,ObjectSkeleton_NumberNonTrunkBranches_MorphologicalSkeleton,ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,ObjectSkeleton_TotalObjectSkeletonLength_MorphologicalSkeleton,Group
1,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,907,1395,450,284,405,253,425.5325248,268.9746417,907,-2.12E-12,112223.7905,180502.1724,-1.52E-12,36548.24807,75456.63215,8989194.16,51580.41676,-30350.55743,6263108.295,2977742.731,1.366752413,975,0.856758673,33.98276426,1,0.650179211,0.731661412,0.19911798,0.013329439,0.000250081,3.73E-05,3.30E-09,3.51E-06,-1.47E-09,142.6580265,37.94198155,123.7307503,-40.29575311,-40.29575311,56.86925773,47.77581421,46.5295605,12.16552506,4.953448607,4.472135955,25.27434377,24.63882515,nan,nan,0.136417586,0.007285581,nan,0.044427512,0.003045644,0.012047555,0.062700394,-0.001225035,0.008393983,0.000132514,-0.002262378,0.005623979,-0.00011225,0.001289713,64.84013539,124.8111832,0.93025641,907,18623,494601,14944385,14489,334044,9477386,298592868,283037,6948804,203341138,6523057068,0.533210782,0.073755153,0.157103215,0.094934885,0.043592699,0.031284923,0.014702522,0.025977053,0.031714923,0.006111116,0.016383609,0.010830728,0.000443756,0.010686247,0.011519106,0.014920085,0.017084312,0.010317239,0.005071203,0.004609425,0.001777948,0.003480595,0.005147766,0.004975883,0.00735745,0.008841447,0.007005229,0.011043066,0.006740552,0.00249745,1,425.5325248,268.9746417,0,1,9,5,4,134.9827586,KO
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,2517,5002,358,513,276,452,304.5470799,484.2304331,2517,-7.09E-12,1129625.671,20288634.52,1.19E-11,96003.69368,-1397559.061,-25893987.18,530334.3488,-4619226.206,141024541.3,-911256313.5,2.352753103,3511,0.741474109,56.61045782,1,0.503198721,0.425033973,0.262018042,0.009866904,0.011567001,0.00258829,1.08E-05,0.00017744,-9.14E-06,454.7593915,204.7400204,448.798439,-38.14211112,-38.14211112,210.7009729,85.30035325,83.77350416,18.43908891,6.276415728,5.385164807,58.63872441,57.23495721,nan,nan,0.178306889,0.06383293,nan,0.015153799,-0.004397057,-0.001623863,0.083711153,-0.014533198,0.008843925,-0.001139067,-0.00816583,0.003445393,-0.000893905,0.000337863,81.11751137,272.7939392,0.716889775,2517,71853,3180819,175586757,81124,2411857,106602865,5748365071,3144996,91349707,3876957771,2.00356E+11,0.421403702,0.092950407,0.088045808,0.069836933,0.059362811,0.029507082,0.032056532,0.0382048,0.006521896,0.0313098,0.016660757,0.033529711,0.012716771,0.015986929,0.004912623,0.002314963,0.015206494,0.002461764,0.018416601,0.010963937,0.01257723,0.007165485,0.007329558,0.007235859,0.00901468,0.010968309,0.005266385,0.008446583,0.004121533,0.001369751,1,304.5470799,484.2304331,0,2,19,9,10,374.5046219,KO
1,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,2072,4320,828,513,748,459,787.4913127,484.4734556,2072,8.30E-12,797021.8436,-1105726.694,8.45E-12,361345.0222,-1548037.083,257335125.7,347840.5401,-676145.3318,150374006.2,-1428456756,2.229482392,2679,0.923423754,51.36294712,1,0.47962963,0.448534603,0.266669769,0.039283159,0.000677971,0.000120103,3.43E-08,2.35E-05,3.81E-10,481.6048676,70.93489287,384.6630519,-174.3943157,-174.3943157,167.8767085,87.78199064,83.77350416,14.14213562,5.611271192,5.099019514,40.95751622,33.68914196,nan,nan,0.185648191,-0.005658136,nan,0.084167141,-0.007921492,0.02892876,0.081021577,-0.003459917,0.016904546,-0.003527792,0.001841713,0.012233118,-0.002089544,0.004167437,60.93131746,240.9360749,0.773422919,2072,81826,4028438,220933456,52781,2445736,129610178,7392493486,1692355,84566588,4628646918,2.67908E+11,0.375912274,0.062583262,0.118304095,0.082938382,0.041473198,0.036220927,0.033253219,0.038855194,0.025165864,0.010886347,0.040626971,0.012526986,0.02726034,0.006215709,0.003834319,0.014323843,0.003437095,0.013920958,0.010228734,0.005615744,0.008096219,0.005535588,0.007072029,0.005770966,0.008780445,0.001974499,0.003468046,0.001798202,0.002293052,0.003055938,1,787.4913127,484.4734556,0,3,24,17,9,760.6539057,KO
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,916,1720,77,537,34,497,56.7139738,513.8155022,916,-1.32E-12,97467.06114,-271356.1659,-4.26E-13,66878.66157,-4390.614996,14181572.34,99487.81987,250075.9756,13136284.9,23982012.77,1.590257889,1021,0.899421837,34.15095054,1,0.53255814,0.628828825,0.234733893,0.025418643,0.001828435,0.000191223,1.85E-08,-3.23E-06,1.12E-07,180.5280937,34.4881519,106.4050886,-73.01163927,-73.01163927,108.6111571,53.74429737,52.49761899,11,4.498564898,4.123105626,24.47460704,23.49064559,nan,nan,0.11616276,-0.010685652,nan,0.07970703,-0.000172897,0.018451767,0.118571132,0.009847665,0.017091734,0.001030983,0.013975838,0.018583853,0.002715194,0.004071204,44.56723065,135.2964646,0.897159647,916,20806,570054,17104564,15403,416742,12619514,405017262,358497,10642164,339042764,11256674208,0.423181213,0.058304167,0.142991055,0.083183204,0.059948841,0.010174875,0.012187954,0.040727416,0.036654337,0.025714593,0.013307474,0.002064588,0.001449421,0.002973797,0.017739868,0.020271067,0.005378274,0.003051918,0.003740259,0.001414212,0.003180414,0.007122255,0.004641881,0.009766891,0.011030378,0.008240382,0.007171391,0.007759143,0.002708077,0.000456973,0,56.7139738,513.8155022,0,4,0,0,0,0,KO
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,1057,1520,663,897,625,857,644.0227058,876.9243141,1057,4.55E-13,91281.45506,-78391.85983,-1.75E-12,-39063.18354,-80770.31995,-7102687.28,107777.9451,157584.6165,8687251.508,25412938.64,1.363333938,1134,0.756691663,36.68534038,1,0.695394737,0.733496007,0.178169235,0.005107861,0.000262036,1.53E-05,9.61E-10,1.08E-06,-1.51E-10,131.933966,56.39091596,86.35899249,36.95665425,36.95665425,101.9658894,45.94500468,47.50789408,13.92838828,5.478612509,5,31.81980515,30.03755408,nan,nan,0.08170198,-0.002158159,nan,-0.034963722,-0.002223639,-0.006014475,0.096467256,0.004338368,0.007356266,0.0006619,-0.001031006,-0.006749733,-0.000680228,-0.001061771,-39.0385264,134.5685425,0.932098765,1057,20107,473771,12406855,21060,361555,7872617,193079377,527384,8633241,179319695,4202848899,0.596284536,0.026113481,0.195963778,0.080882294,0.008292882,0.014286346,0.014727095,0.026877763,0.023332606,0.013019073,0.018680727,0.005227535,0.020445202,0.02049401,0.007576856,0.015950188,0.003580581,0.002934824,0.007669397,0.001498643,0.00052629,0.009796551,0.012794553,0.001157705,0.010877566,0.008602646,0.010042881,0.003789064,0.004259082,0.001979817,1,644.0227058,876.9243141,0,5,31,27,6,1110.170723,KO
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,1100,1476,990,923,954,882,971.8781818,902.1336364,1100,-1.41E-12,80209.67636,-22101.02067,6.21E-12,7977.907273,-85429.40259,1977313.315,123513.3555,-48853.71158,7104982.281,-12211284.76,1.27604721,1183,0.607771152,37.42410319,1,0.745257453,0.783670065,0.168366142,0.00145468,0.000105173,4.71E-06,-8.70E-11,-1.14E-07,5.88E-11,113.5785235,71.62423272,72.9178876,-7.252642975,-7.252642975,112.2848686,42.62929011,41.86884283,15.23154621,5.813426553,5.099019514,33.68640775,33.85244044,nan,nan,0.066288989,-0.00055072,nan,0.006593312,-0.002128755,0.001485585,0.102077153,-0.001217351,0.005338078,-0.000276622,0.003388956,0.000544961,7.59E-05,0.000158741,10.11349422,132.8111832,0.929839391,1100,19666,431802,10565740,22147,403926,8893576,217772034,569413,10452464,227920010,5513942240,0.785547618,0.049584648,0.126851419,0.070904781,0.010002592,0.019873639,0.042555701,0.004716719,0.021747596,0.018510369,0.021555584,0.014207978,0.012495741,0.01736259,0.005182895,0.021042475,0.000888075,0.007120659,0.008462598,0.009240585,0.00721492,0.008225608,0.006022715,0.000572757,0.007062661,0.006586162,0.006309936,0.003784678,0.004117162,0.00298947,1,971.8781818,902.1336364,0,6,36,47,5,1441.709833,KO
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,845,1240,474,933,443,893,457.7940828,912.0946746,845,-6.15E-13,47972.17041,-17985.74284,-2.88E-12,23426.47337,-9969.310374,2545506.624,79688.42604,25768.99202,3767665.795,-354201.9519,1.210978199,883,0.783699638,32.80072279,1,0.681451613,0.825778698,0.178790093,0.006278777,3.55E-05,3.68E-06,4.03E-11,2.43E-07,1.20E-11,109.0171793,42.06044961,56.77179931,-27.72363713,-27.72363713,94.30582963,41.76451687,42.05948169,12.64911064,5.159381379,4.472135955,25.93333252,25.94161124,nan,nan,0.067185561,-0.000866536,nan,0.032809038,-0.000480312,0.004218947,0.111604532,0.001241526,0.006244566,-2.02E-05,0.002360575,0.007530542,7.71E-05,0.000748839,27.95233712,113.3969696,0.956964892,845,12501,232913,4847157,16135,262129,5130575,110039629,387781,6657275,132982825,2876843027,0.606475558,0.035358259,0.189851429,0.09047718,0.013339703,0.006936944,0.009748414,0.02263108,0.028030197,0.010106494,0.007602876,0.002683236,0.023745875,0.021662025,0.008186789,0.014915503,0.009457372,0.005748589,0.008386676,0.005786038,0.003616165,0.00859403,0.015290691,0.00421723,0.006275434,0.003442256,0.006421962,0.00205022,0.005728048,0.005920375,1,457.7940828,912.0946746,0,7,15,18,5,555.629518,KO
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,1133,1681,235,1024,194,983,211.6796117,1003.328332,1133,-1.32E-12,109062.699,311783.5159,3.77E-12,14548.18447,-1911.806776,4061723.281,109489.8605,-291287.8572,7330512.767,-36095785.68,1.26998432,1210,0.484771208,37.98131651,1,0.674003569,0.787411297,0.170253511,0.000513868,0.000753937,1.60E-06,-5.01E-11,-2.49E-08,2.46E-11,109.2904077,83.6068205,96.26010506,-12.84040994,-12.84040994,96.63712317,41.81682106,44.41846463,15.55634919,5.811826185,5.099019514,36.06244584,36.57470612,nan,nan,0.084960375,0.007215698,nan,0.011333107,-4.42E-05,0.002792676,0.085293136,-0.006741361,0.005040163,-0.000737313,-0.001130345,0.001089202,-0.000233031,0.000287894,44.57945278,134.4680374,0.936363636,1133,20031,463203,12357405,23032,421745,9928645,268807673,577692,10513563,243504975,6506850639,0.699422845,0.048822652,0.170007626,0.03227038,0.006488769,0.05534768,0.037534935,0.017150788,0.038077628,0.012359305,0.014456899,0.008408519,0.011783843,0.010142944,0.007079761,0.003477261,0.00400697,0.012441098,0.011806291,0.016845384,0.00683044,0.007406518,0.014090554,0.008633977,0.000315134,0.003067994,0.005038828,0.008602884,0.002214595,0.004822546,1,211.6796117,1003.328332,0,8,23,23,8,832.3940222,KO
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,890,1276,50,1084,6,1055,25.39213483,1069.288764,890,-3.67E-12,111030.1449,246394.9728,1.34E-12,11797.22135,-47755.23539,3027840.492,39748.78764,-101477.2121,3849264.298,-13846354.4,1.350785833,949,0.815394528,33.6627865,1,0.697492163,0.740309807,0.190353406,0.008985541,0.00057378,4.42E-05,4.05E-09,1.85E-06,-5.75E-09,126.8897465,42.52478448,124.7529718,-13.25530489,-13.25530489,44.66155915,45.0581396,44.38468204,12.64911064,4.990039994,4.472135955,25.75878449,26.08441204,nan,nan,0.140171878,0.010426939,nan,0.014893601,-0.002020905,0.004294998,0.050181527,-0.004294311,0.005460189,-0.000658371,-0.000546346,0.001692368,-0.000510122,0.000383489,80.84261468,122.9116882,0.937829294,890,17259,445719,13196061,12717,258407,6778565,202114223,221459,4530221,117573999,3467176553,0.575219896,0.071656608,0.16162849,0.097545241,0.037085302,0.007112297,0.003574392,0.027060875,0.029622964,0.012041811,0.014089548,0.009870676,0.008501216,0.010360141,0.006012036,0.014723951,0.014703981,0.018808351,0.007521678,0.008765204,0.002220627,0.001749132,0.006829771,0.006252692,0.008922219,0.006391681,0.006863119,0.007167232,0.005046997,0.004820267,0,25.39213483,1069.288764,0,9,0,0,0,0,KO
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,1294,2970,1770,1194,1716,1139,1743.031685,1169.161515,1294,-3.19E-12,241883.7009,910.9223524,-6.52E-12,185745.3779,-460926.5518,64974534.85,227659.2434,-746719.5958,60508387.14,-294609624.5,1.790925932,1481,0.9400936,40.59029405,1,0.435690236,0.558370384,0.280418567,0.049294128,0.001465217,0.000620554,5.74E-07,0.000116093,1.45E-07,325.0795708,37.78205549,186.9271259,-143.5435687,-143.5435687,175.9345003,72.11985255,66.84309987,12.52996409,4.961415742,4.472135955,25.1027647,24.5868438,nan,nan,0.144456821,1.51E-05,nan,0.110930115,-0.007652371,0.029987506,0.135961747,-0.01239715,0.027926258,-0.003779871,-0.01396336,0.030099321,-0.004932431,0.008125106,46.09639798,170.6518036,0.873733964,1294,34979,1187425,45176057,39029,1240765,45395631,1797353095,1404833,48433007,1844672857,74796579305,0.366969232,0.020082693,0.127663685,0.093391307,0.033944291,0.00657186,0.041464269,0.050490439,0.041838442,0.017921766,0.006825581,0.00430902,0.020483587,0.010388371,0.023941262,0.020125585,0.008666198,0.007104814,0.004294428,0.000747045,0.000942246,0.005066451,0.004591106,0.009391615,0.009101102,0.002978111,0.005741692,0.008276946,0.00213562,0.001862329,1,1743.031685,1169.161515,0,10,22,20,4,968.4184126,KO
