ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Children_Microglia_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MorphologicalSkeleton,ObjectSkeleton_NumberNonTrunkBranches_MorphologicalSkeleton,ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,ObjectSkeleton_TotalObjectSkeletonLength_MorphologicalSkeleton,Group
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,1561,2773,203,340,156,281,182.7629725,311.0640615,1561,-8.60E-13,190340.2998,-1151827.53,-1.03E-11,20095.70275,331225.3671,5553893.26,345399.5939,1335264.015,24829630.93,175981905.1,3.030664872,1995,0.678489458,44.58168827,1,0.562928237,0.3299606,0.219860991,0.004321391,0.003252951,3.74E-05,1.25E-08,1.55E-06,-3.47E-09,222.9094591,120.2935477,121.9348493,-12.87360843,-12.87360843,221.2681575,59.72061073,61.03277808,10.63014581,4.107406136,4,45.31974072,43.87136609,nan,nan,0.078113292,-0.011964104,nan,0.008247027,0.003440459,0.001460121,0.141747699,0.013869471,0.006527721,0.001171003,-0.009247382,0.002829868,0.000793215,0.000368828,7.265643104,243.8233765,0.78245614,1561,41777,1308417,44053445,46930,1276082,40743196,1399754144,1756306,49547550,1610897752,56006701176,1,182.7629725,311.0640615,0,2,32,53,15,1106.158525,WT_MD
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,997,2430,672,540,618,495,645.9658977,519.9247743,997,-8.10E-13,163432.8405,-198611.6498,-6.79E-12,126674.4423,-630534.7853,42931836.48,158595.3581,-860203.9986,37921599.14,-392336950.2,2.443089338,1336,0.938469939,35.6289184,1,0.410288066,0.409317819,0.323969097,0.064985381,0.006980519,0.003201006,1.51E-05,0.00077656,1.30E-06,288.5773635,34.41982665,163.9246144,-127.0556092,-127.0556092,159.0725758,67.95025987,63.41135545,11.3137085,3.92930583,3.605551275,26.71708183,23.46736513,nan,nan,0.164417868,-0.006328005,nan,0.127437923,-0.020089594,0.043320553,0.159551229,-0.02740713,0.038264952,-0.012537939,-0.025330075,0.038407072,-0.01331105,0.014109908,45.54694074,174.9533188,0.746257485,997,27882,943178,35319300,24850,821627,29963093,1167569993,777976,27211257,1021547551,40500623979,1,645.9658977,519.9247743,0,4,31,30,7,803.2813254,WT_MD
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,1365,3717,574,590,511,531,539.9758242,560.7619048,1365,2.96E-12,316220.2022,262427.6713,-1.24E-12,203502.1429,-1212987.622,86902212.39,243227.619,-1317832.119,68938481.42,-856414292.1,2.541518414,1889,0.921949868,41.6889911,1,0.367231638,0.393465573,0.30025779,0.049251078,0.005968932,0.000781956,1.49E-06,0.000144424,7.88E-07,356.3903265,53.46155724,231.6631518,-149.0858189,-149.0858189,178.1887319,75.51321224,71.56116265,11.18033989,4.359294315,4,36.52881769,29.24696422,nan,nan,0.169716595,0.00381222,nan,0.10922038,-0.017620764,0.034169048,0.130541196,-0.019143814,0.027105895,-0.009114222,-0.005765093,0.02776259,-0.009621935,0.008648967,50.08370016,208.7939392,0.722604553,1365,39552,1462272,60958446,40625,1380645,54100297,2308279941,1452305,52877125,2121799133,91136532829,1,539.9758242,560.7619048,0,5,14,7,8,272.936079,WT_MD
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,911,1365,439,686,404,647,420.9308452,663.8463227,911,-1.82E-12,56370.64325,35428.19874,-2.49E-12,9505.318332,-99708.76717,1942795.837,86734.48518,-113349.9055,3855441.421,-16613971,1.292473952,976,0.632793587,34.05761626,1,0.667399267,0.773709983,0.17243223,0.001863277,0.000511541,1.07E-05,-7.88E-10,-4.61E-07,7.89E-11,98.2048536,58.88090758,61.87776427,-10.43393889,-10.43393889,95.20799691,39.63934482,39.56008089,13.60147051,5.195203911,5,29.9633109,30.6935583,nan,nan,0.067922903,0.001414338,nan,0.011453281,-0.003980498,0.002569639,0.104509327,-0.004525069,0.005099399,-0.000728047,0.004995292,0.001414155,-0.0007265,0.000339942,16.02522952,121.6396103,0.933401639,911,15424,317512,7319980,15347,269343,5571067,128367279,345275,6052707,122474495,2750317743,1,420.9308452,663.8463227,0,6,29,30,5,945.2346451,WT_MD
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,827,1620,950,731,905,695,929.2237001,710.9359129,827,-1.42E-13,101441.6155,-288671.7627,-3.18E-13,44030.85611,-265506.6684,11043171.83,56317.60339,-77932.39813,8506810.807,-69532049.82,1.860589213,988,0.878014624,32.44948541,1,0.510493827,0.53746415,0.230666076,0.020931814,0.002012161,0.000432567,4.00E-07,6.16E-05,-5.21E-08,155.204904,35.55594103,122.6621711,-53.24166397,-53.24166397,68.09867399,49.8325041,48.60041152,9.848857802,4.006058061,3.605551275,26.2,23.85152105,nan,nan,0.148321851,-0.014677109,nan,0.064379279,-0.013499313,0.019524382,0.082344225,-0.003962363,0.015040083,-0.004274799,0.004272331,0.01189321,-0.002535528,0.003453369,58.56560767,139.0538239,0.837044534,827,20033,586715,18838319,13179,363275,11217513,369464609,266337,7777079,246302061,8203443833,1,929.2237001,710.9359129,0,7,12,14,4,379.6051264,WT_MD
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,1439,2352,689,752,641,703,665.371091,729.6115358,1439,-1.49E-12,183091.8374,-442590.7549,6.85E-12,-66303.56011,55663.91883,-16961841.41,194037.8485,385825.5905,18334674.98,41464664.46,1.457899956,1629,0.722221899,42.8041085,1,0.611819728,0.685918122,0.182124818,0.00412895,0.000489598,3.42E-05,1.32E-10,-3.62E-07,-4.43E-09,177.2716493,84.80596427,127.2354673,46.07613628,46.07613628,134.8421463,53.25735995,52.15361924,16,6.028113687,5.385164807,38.48275862,36.83606152,nan,nan,0.088419366,-0.005634435,nan,-0.032019553,0.000708634,-0.005692337,0.093705453,0.004911782,0.006153056,0.00036683,-0.006515258,-0.005117273,-0.000163231,-0.000686348,-42.64061831,162.3675324,0.883364027,1439,35070,1037786,33773682,38294,866963,24440963,767734463,1213100,26421517,718279681,21821743369,1,665.371091,729.6115358,0,8,29,32,9,898.5361584,WT_MD
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,1026,1536,247,812,215,764,230.7582846,786.6267057,1026,-9.52E-13,64322.05458,-40356.61689,-8.10E-13,40319.423,80531.08753,5151639.829,139974.0283,219058.462,8880663.245,28643654.83,1.344051628,1086,0.838052839,36.143378,1,0.66796875,0.744019039,0.194073089,0.011032894,0.000435333,7.48E-05,1.30E-08,6.89E-06,-3.69E-09,153.443774,45.67521517,62.692061,-39.29768324,-39.29768324,136.4269281,49.54896955,50.56678752,14,5.405735514,5,28.14427118,27.03337646,nan,nan,0.061103373,-0.001196868,nan,0.038301836,0.002388335,0.004769836,0.132969716,0.006496682,0.008222489,0.000827966,0.004447495,0.011499292,0.001557656,0.001324959,23.41377674,131.6396103,0.944751381,1026,16168,319102,7015354,23215,406148,8571488,197729870,665253,12526896,275062600,6515723322,1,230.7582846,786.6267057,0,9,20,25,6,655.7838464,WT_MD
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,1441,2709,360,965,297,922,327.4233171,944.6516308,1441,-1.65E-12,371449.7765,109199.5174,3.73E-13,-155204.4948,-498331.9399,-75343895.27,142473.1187,360926.7288,45203490.94,251158342.9,1.605551249,1552,0.926014362,42.83384391,1,0.531930602,0.622839041,0.247497037,0.034506464,0.000456472,9.73E-05,1.72E-08,1.11E-05,-1.12E-08,312.1610867,44.48214389,257.7722252,107.7061033,107.7061033,98.87100532,70.67232405,66.64082833,13.60147051,5.522166031,5,26.83281573,26.6779741,nan,nan,0.178884265,0.001385354,nan,-0.074743999,-0.006322062,-0.025180023,0.068612773,0.004578878,0.015107063,0.002211178,-0.001532946,-0.010493702,-0.001577659,-0.003424878,-63.2073776,170.509668,0.928479381,1441,43840,1705208,74588752,32641,837843,28683739,1137768543,881845,20158307,623565567,22664407307,1,327.4233171,944.6516308,0,10,33,38,8,1147.957519,WT_MD
1,11,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,1420,1989,549,1023,510,972,530.2309859,996.415493,1420,-5.30E-12,118814.2366,-144044.7459,-1.36E-11,-9648.28169,-47180.72339,-2781513.992,229092.8592,313105.7383,14487210.75,26103336.16,1.298601861,1520,0.697785101,42.52058506,1,0.713926596,0.770058961,0.17253873,0.00308267,0.000211331,5.07E-06,-1.60E-10,-2.79E-07,-4.52E-11,161.9229742,83.08202278,83.67199762,6.794564571,6.794564571,161.3329994,50.89958338,50.15974482,16.55294536,6.525882358,6,35.34543818,36.45973621,nan,nan,0.058923942,-0.00189573,nan,-0.004784905,-0.000620932,-0.000971441,0.113614788,0.004120692,0.005059641,0.000241928,0.000973718,-0.000351009,-0.00024667,-9.66E-05,-4.962569342,152.2253967,0.934210526,1420,28728,700010,18825306,34670,691760,16653520,442137158,1075578,21601974,516842574,13554732168,1,530.2309859,996.415493,0,11,27,21,8,684.5117707,WT_MD
1,12,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,1001,1640,763,1023,722,983,741.6293706,998.957043,1001,2.27E-13,81037.4965,6396.591814,-2.11E-13,5110.062937,-362947.0832,1367839.565,100057.1528,-87820.16942,6098288.576,-20521499.42,1.424958019,1097,0.461578423,35.70031911,1,0.610365854,0.70177506,0.180733003,0.000464338,0.002342777,1.00E-05,-1.36E-09,-1.57E-07,7.11E-10,101.2418956,79.67183999,80.95653996,-5.104957979,-5.104957979,99.95719565,40.24761273,42.54409477,14.03566885,5.126842421,4.472135955,35.57288074,35.70363343,nan,nan,0.080875664,0.000201773,nan,0.005099858,-0.011448751,0.001363744,0.099857338,-0.002770187,0.00608003,-0.000646681,0.013301589,0.000927599,-0.001149315,0.000285882,14.12557957,133.882251,0.912488605,1001,19649,466735,12349541,15973,318650,7285378,182963636,354939,7042492,154866564,3688444414,1,741.6293706,998.957043,0,12,36,37,9,1142.827576,WT_MD
