ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Iba1_nuc
1,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,10207,28275,307,379,112,234,201.1288332,313.7743705,10207,-8.73E-11,17430629.58,107618886.2,1.02E-10,6300556.703,-25632593.24,20441725249,10776245.38,23174405.92,17597957019,86211070213,23.37818101,17843,0.819314587,113.9998072,-18,0.360990274,0.042774928,0.270743939,0.018709015,8.75E-05,0.000155651,1.12E-08,6.44E-06,1.43E-08,2079.803033,683.6803572,1707.713293,-617.2780154,-617.2780154,1055.770097,182.4194302,195.6041922,17.02938637,4.330909019,3.605551275,109.9390278,104.5891281,nan,nan,0.167308053,0.010224527,nan,0.060475949,-0.002435271,0.01922309,0.103435887,0.002201726,0.016548853,0.000802453,0.001322115,0.012938848,0.00042365,0.003734742,58.9187982,1731.646932,0.57204506,10207,909738,98514516,11995246098,814257,78874333,8956423443,1.12E+12,75733085,7778421793,9.09E+11,1.15E+14,201.1288332,313.7743705,0,1,2
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,6466,45920,854,622,574,458,684.6710486,540.8243118,6466,-2.91E-10,27680957.32,1183614679,1.46E-11,14909120.31,378072316.1,1.47E+11,10939692.42,87783136.69,73985039943,3.80E+12,30.09223011,21123,0.969145163,90.73459592,-2,0.140810105,0.03323117,0.923736651,0.668989547,0.186442184,0.156446561,0.026718216,0.114403213,0.000211918,5630.768878,342.1123067,4281.001751,-2305.771777,-2305.771777,1691.879434,300.1537973,304.1792235,14.31782106,3.22947304,2.828427125,94.42664908,73.98511274,nan,nan,0.662078836,0.352063573,nan,0.356599409,0.112456776,0.543625895,0.261657815,0.0261109,0.273676062,0.174984313,0.003433816,0.162563769,0.051356036,0.261603368,59.65588013,1563.687517,0.306111821,6466,715599,106877049,19138770903,535542,74178115,12530106301,2.41E+12,55295590,8677079321,1.57E+12,3.14E+14,684.6710486,540.8243118,0,2,4
1,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,3478,12750,580,611,455,509,528.7288672,557.4045428,3478,-3.21E-11,2980085.322,-44938206.73,-1.41E-11,1689399.484,-31475884.27,3222614973,1771741.808,-17679955.23,2277535995,-81810158528,10.36631593,7093,0.927631183,66.54567707,1,0.272784314,0.096466286,0.392827133,0.087998518,0.01708848,0.009844527,0.000125072,0.002824196,-2.57E-05,1198.992806,167.2599625,856.8387929,-485.738782,-485.738782,509.4139759,138.505902,144.0312466,15,4.332279736,3.16227766,67.46706514,51.7316093,nan,nan,0.24635963,-0.062992928,nan,0.139660374,-0.044121879,0.076598398,0.146467503,-0.024783191,0.054134797,-0.032972639,-0.002136964,0.043932078,-0.022492008,0.028929654,54.83916405,673.1036431,0.490342591,3478,256429,21886305,2008150897,168351,14101728,1277035724,1.21E+11,9920695,877310868,81650635684,7.85E+12,528.7288672,557.4045428,0,3,5
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,8520,31395,516,801,355,606,425.5138498,711.0284038,8520,-1.46E-11,8528764.366,18026725.32,-5.09E-11,3294097.648,98274712.55,12612122494,20759985.13,-39408506.51,26492372993,1.14E+11,27.53031125,22176,0.802157605,104.153737,-2,0.271380793,0.036323599,0.403479654,0.036628139,0.006017095,0.000272263,3.31E-07,5.18E-05,-1.09E-07,2534.122549,903.5241046,1001.028681,-386.6311794,-386.6311794,2436.617973,201.3602761,235.0319127,17.02938637,3.67905027,3,138.9637051,120.2347108,nan,nan,0.117491629,0.002690406,nan,0.045379246,0.014667051,0.02039245,0.285988025,-0.005881539,0.042835326,0.00199543,-0.030855925,0.042891168,-0.000943736,0.016776257,14.15428751,1716.841846,0.384199134,8520,600778,50891934,4809404932,894842,66392852,5907932318,5.88E+11,114743812,8743567050,8.04E+11,8.28E+13,425.5138498,711.0284038,0,4,6
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,4177,12064,989,777,873,673,926.4816854,731.3720373,4177,1.18E-11,2930672.849,27074390.03,2.08E-11,1264007.461,36580213.76,1932325108,2380217.854,14532237.31,1743023117,48637883181,8.943000686,6830,0.809415909,72.92682345,-2,0.346236737,0.111819291,0.30439563,0.021989671,0.012028094,0.001805473,8.32E-06,0.000254256,-1.24E-06,945.4321566,326.02839,701.6214625,-302.6113145,-302.6113145,569.839084,122.9915221,126.8227109,17.69180601,4.799194481,3.605551275,76.39671161,72.22502502,nan,nan,0.167972579,0.024010295,nan,0.072447047,0.032440314,0.026514703,0.136423051,0.012887578,0.023917166,0.010326401,-0.011368525,0.023279959,0.006114676,0.006992469,51.14197916,685.139177,0.611566618,4177,223393,14878107,1136255275,243820,14303912,1040248130,84973261172,16612488,1050561476,80854264746,6.87E+12,926.4816854,731.3720373,0,5,7
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,8021,37810,764,794,574,595,671.3439721,724.7370652,8021,2.91E-11,12070355.98,-29565295.55,-1.16E-10,2483831.437,201752336.8,6904355273,13637562.47,3980914.045,17034211711,2.73E+11,28.40114651,24097,0.580489686,101.0576785,-5,0.212139646,0.035209846,0.399585648,0.006555363,0.03454301,0.002104555,1.70E-05,8.16E-05,-5.81E-06,1927.249152,1277.827329,1504.844281,-309.6660562,-309.6660562,1700.232199,175.6017837,213.1783291,19,4.078931077,3,165.0986357,142.986843,nan,nan,0.187613051,-0.005131105,nan,0.038606914,0.035014448,0.013379429,0.211972597,0.000690894,0.033009313,0.005898472,-0.080674494,0.022431384,0.006899395,0.005526959,36.24523531,1691.948448,0.332863012,8021,780796,88076140,10894068808,1040621,103782013,12112064291,1.55E+12,148644677,15118134203,1.81E+12,2.37E+14,671.3439721,724.7370652,0,6,8
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,5740,29097,310,915,151,732,238.0554007,806.3743902,5740,0,8060970.383,-92682335.11,8.73E-11,3994534.944,-20154143.3,10289821411,7361486.435,-5225725.876,5948061704,3682278636,20.45472069,16917,0.827168685,85.48915128,-4,0.197271196,0.04888847,0.468090447,0.059246327,0.00909533,0.004896239,-1.69E-05,-0.001140848,2.80E-05,2041.993897,644.8452694,1404.350241,-695.9120111,-695.9120111,1282.488926,180.7537064,183.8477631,16.15549442,3.786620763,3,112.2305021,101.575215,nan,nan,0.244660321,-0.037129341,nan,0.121239026,-0.008073923,0.054409177,0.223430126,-0.002093471,0.031451386,0.000256995,0.066020538,0.033742312,0.001137927,0.01034414,47.50188927,1214.668181,0.339303659,5740,499698,51562380,5799603330,426909,41159269,4510258109,5.27E+11,39112583,3993918061,4.47E+11,5.26E+13,238.0554007,806.3743902,0,7,9
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,10331,44505,451,1025,244,810,344.0658213,918.5845514,10331,-8.73E-11,23466227.24,58008251.28,-1.89E-10,-11500251.49,2733576.357,-47810465405,19218604.89,53355634.89,52312655207,-2.53E+11,32.6108789,28910,0.841411911,114.6901815,-6,0.232131221,0.030664614,0.399934486,0.048025271,0.000797274,0.000761497,4.12E-07,9.14E-05,4.27E-07,3197.863812,933.8593643,2271.438122,1113.178927,1113.178927,1860.285054,226.1986317,255.988281,17.88854382,4.092339077,3,149.1989621,122.2364505,nan,nan,0.21986624,0.005347292,nan,-0.107751324,0.000251985,-0.04336066,0.180068246,0.004918406,0.047443823,-0.002257551,-0.025866678,-0.050788388,-0.007955024,-0.020817263,-50.23161146,2057.583007,0.357350398,10331,1033780,126912272,17453923588,1121787,100752286,11481881470,1.50E+12,141027343,11667873242,1.25E+12,1.57E+14,344.0658213,918.5845514,0,8,10
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,6276,30096,580,1075,436,866,531.4953792,976.4265456,6276,-2.91E-11,4436430.866,-130184147,-9.09E-11,-1054693.13,68723824.25,-4232524744,12404071.14,138422345.6,7715600416,-33845400064,23.89309402,17491,0.810677793,89.39156215,0,0.208532695,0.041853098,0.427552218,0.043787262,0.045520681,0.001178887,6.44E-06,0.000245332,-5.75E-06,1998.298101,685.0196178,706.8882833,168.0518053,168.0518053,1976.429436,178.8093108,208.1177551,19.23538406,4.176153471,3,141.6764919,104.6915177,nan,nan,0.11263357,-0.041720621,nan,-0.026776897,0.022024192,-0.017121851,0.314918648,0.044360749,0.031211951,-0.001728261,-0.056257463,-0.012949795,0.002654944,-0.002626652,-7.414264844,1372.722005,0.358813104,6276,599329,61669581,6606293173,693037,65127138,6677245980,7.16E+11,88933753,8398252576,8.70E+11,9.44E+13,531.4953792,976.4265456,0,9,11
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/14-1-2_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-2,0,slice1,8706,57018,907,1104,649,883,742.7895704,983.1711463,8706,8.73E-11,25293102.49,1498046645,-1.78E-10,-1952377.46,-509104414.8,-39761611145,18629316.99,-413112973.3,37569761957,-3.16E+11,42.40752495,34104,0.546896499,105.2844883,-3,0.152688625,0.023580721,0.579493981,0.010383857,0.217163253,0.024344463,0.001768634,0.002447736,7.16E-05,2966.113286,2078.961316,2905.24954,224.2565426,224.2565426,2139.825062,217.8481411,271.0129148,17,3.304270761,2.828427125,197.9667311,182.382513,nan,nan,0.333706586,0.211825714,nan,-0.025758849,-0.071988016,-0.060257067,0.245787395,-0.058414703,0.05693541,-0.005124616,0.043535862,-0.00688158,-0.007066337,-0.002447183,-74.81556353,2153.95054,0.255277973,8706,816532,101875288,15797344576,872090,79840569,9329634681,1.35E+12,105987572,9136272097,9.71E+11,1.26E+14,742.7895704,983.1711463,0,10,12
