ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Children_Microglia_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MorphologicalSkeleton,ObjectSkeleton_NumberNonTrunkBranches_MorphologicalSkeleton,ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,ObjectSkeleton_TotalObjectSkeletonLength_MorphologicalSkeleton,Group
1,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,717,1430,1886,401,1860,346,1871.923291,374.2287308,717,4.55E-13,21274.78103,-408.8062573,-1.69E-12,-349.4198047,30783.22988,547521.5921,142482.4881,157694.3427,3066750.66,9032923.099,2.968343899,1018,0.922330237,30.21444611,1,0.501398601,0.336888189,0.318538753,0.055590206,0.001595103,0.000259429,4.01E-08,-4.21E-08,1.62E-07,198.721751,29.67053518,29.67194007,0.48733585,0.48733585,198.7203461,56.38748102,55.10898293,8.062257748,3.038142836,2.828427125,23.52419149,21.78826663,nan,nan,0.041383459,-2.97E-05,nan,-0.000679687,0.002236229,0.001485401,0.277155294,0.01145561,0.008319955,0.00091519,-0.013588642,-0.013380347,-0.000378142,-0.000342485,-0.165171496,163.5391052,0.7043222,717,8549,123207,1975955,20240,240978,3500428,57278310,713832,8649194,126529624,2086730294,1,1871.923291,374.2287308,0,1,8,9,5,264.5513021,WT
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,1456,2112,1893,451,1849,403,1871.555632,427.1771978,1456,-2.34E-12,167023.4938,-26211.48764,-5.49E-12,-58485.35302,46422.80439,-15692899.39,198180.283,-4899.73066,18502477.91,23791700.37,1.278634948,1553,0.70561,43.05620486,1,0.689393939,0.782084051,0.172271133,0.003260452,1.08E-05,1.11E-06,1.53E-12,-2.97E-08,-3.54E-12,166.9824538,83.84431593,114.7139381,40.16851169,40.16851169,136.1128317,51.68867634,53.74011537,17,6.614691664,6,36.43342535,36.62661675,nan,nan,0.078787045,-0.000324032,nan,-0.027588264,0.000573889,-0.005084158,0.093484088,-6.06E-05,0.005994401,0.000202004,-0.00155704,-0.004362499,-0.0001872,-0.000724057,-37.54238621,152.9533188,0.937540245,1456,32841,907773,27983823,35202,735518,19355482,574754396,1049266,20833934,524402782,14976826256,1,1871.555632,427.1771978,0,2,8,2,6,63.94112617,WT
1,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,2420,5376,1546,518,1462,454,1511.970248,476.9392562,2420,-5.12E-12,1013067.858,-13941519.35,1.13E-11,320120.6264,-6670798.777,281133573.3,585244.0707,3660104.174,238790532.7,-1353131633,2.67884571,3438,0.806391806,55.50891548,1,0.45014881,0.373295108,0.272917138,0.01728824,0.016408861,0.001277037,3.23E-06,7.83E-05,-4.87E-06,489.3262885,171.1331861,418.6230818,-132.2812506,-132.2812506,241.8363928,88.48288318,90.80198236,17.2626765,5.645824604,5,57.3681949,52.32715335,nan,nan,0.172984745,-0.04839179,nan,0.054661674,-0.023154714,0.019836572,0.099932394,0.012704426,0.016848879,-0.001940825,0.02501196,0.013274237,0.000878452,0.002948355,61.87587415,285.4213562,0.703897615,2420,120928,7055870,439888558,55513,3094119,187178625,11769873771,1858671,111225013,6940563851,4.43E+11,1,1511.970248,476.9392562,0,3,41,48,9,1283.070221,WT
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,831,1295,1205,540,1170,503,1186.364621,520.0794224,831,-2.56E-13,49572.51986,49735.18047,-9.66E-13,748.9350181,-93671.09702,155979.6135,73782.75812,-130270.6142,3048109.499,-10478661.76,1.511618762,937,0.573282633,32.52786593,1,0.641698842,0.661542464,0.178630531,0.001233824,0.001009396,3.22E-05,-2.42E-10,-9.00E-08,5.79E-09,88.81576899,59.6262021,59.65405518,-0.901245509,-0.901245509,88.78791591,37.6968474,36.67424164,11.40175425,4.505322517,4.123105626,32.19937888,30.88720178,nan,nan,0.071785867,0.002498395,nan,0.001084531,-0.00470547,0.00027181,0.106844664,-0.006544009,0.005311626,-0.000633435,0.008679202,-0.000578845,-3.27E-05,-1.49E-05,1.770168023,125.6396103,0.886872999,831,13599,272115,6125265,14193,233012,4578408,100774988,316191,5069658,95558902,2013431502,1,1186.364621,520.0794224,0,4,14,9,7,281.0782148,WT
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,1041,1548,1387,635,1344,599,1365.24976,615.685879,1041,2.91E-13,110787.0624,-88088.69786,-1.71E-12,28646.67147,145444.3687,7935265.493,86358.28242,273051.5583,9093525.5,61553010.06,1.448192437,1161,0.692936769,36.4066253,1,0.67248062,0.690515966,0.181921935,0.003303312,0.000812823,5.13E-05,9.21E-09,2.81E-06,-4.98E-09,124.605817,64.77491773,106.4236911,-27.5184164,-27.5184164,82.95704363,44.65079027,46.64761516,14.03566885,5.215113939,5,32.86496436,32.19314653,nan,nan,0.102232172,-0.002519378,nan,0.026434598,0.004159777,0.007034112,0.079689763,0.007809403,0.008060836,0.00169111,0.000666395,0.003903039,0.001057333,0.000983141,56.5462339,137.6396103,0.896640827,1041,22121,580853,16963295,17370,397755,11054957,339061137,376192,9223031,266896461,8431960301,1,1365.24976,615.685879,0,5,40,36,8,1158.229596,WT
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,1416,2484,876,798,822,752,843.2902542,773.8340395,1416,-1.88E-12,234433.7055,1541562.245,4.16E-12,-45379.79025,-6408.12529,-9382836.001,160795.9993,-762497.5413,19273856.46,-164489184.9,1.879014701,1750,0.675611011,42.46065467,1,0.570048309,0.532193814,0.197116542,0.003397753,0.00260562,0.000133094,5.97E-09,-1.87E-06,7.82E-08,180.8280044,98.28901876,165.5605265,32.04787447,32.04787447,113.5564967,53.78892145,55.54277631,14.86606875,5.373571412,5,40.24922359,39.65632737,nan,nan,0.116921276,0.020431626,nan,-0.02263268,-8.49E-05,-0.003304794,0.080195266,-0.010106024,0.006788579,-0.001539629,0.005230455,-0.004600805,0.000857177,-0.000572306,-64.52705859,182.8528137,0.809142857,1416,30147,876271,30179901,30917,612851,17193833,587448461,835839,15051079,392772237,12846643501,1,843.2902542,773.8340395,0,6,36,51,10,1241.241791,WT
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,1011,1496,1006,859,972,815,990.4678536,836.7814045,1011,-3.98E-13,64977.70524,-160394.6955,4.69E-12,-4177.604352,70712.2193,-929585.6097,117830.6904,302200.4737,5794972.514,22375453.06,1.322861613,1110,0.672948114,35.87819923,1,0.675802139,0.755936971,0.17885201,0.002740654,0.001193295,2.32E-05,-2.10E-09,-6.24E-07,3.24E-09,116.8732531,63.94612934,64.27072724,4.132150694,4.132150694,116.5486552,43.24317344,43.10452412,14,5.3620358,5,32.79233121,31.9865295,nan,nan,0.063571441,-0.004935284,nan,-0.004087192,0.002175788,-0.000899572,0.115280569,0.009298593,0.00560787,0.000680993,-0.004215828,-0.000809883,-5.13E-05,-0.000117553,-4.491601881,129.6396103,0.910810811,1011,18671,409791,9807563,22021,402503,8842233,212336159,597479,11154367,247920021,5991783379,1,990.4678536,836.7814045,0,7,27,26,7,872.7787995,WT
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,709,1247,661,871,618,842,641.3991537,856.4203103,709,-2.12E-12,79348.03949,-270152.2882,4.19E-13,-7480.947814,-184260.1799,239084.6456,30084.74753,59624.20437,2568405.868,4556217.977,1.771728055,887,0.799933764,30.04541291,1,0.568564555,0.564420706,0.217698276,0.010490123,0.002941605,0.000402351,1.97E-07,-2.60E-06,3.91E-07,113.4823908,40.86568684,111.9154295,10.55140735,10.55140735,42.43264814,42.61124561,42.29657197,9.899494937,3.876142179,3.605551275,25.4927058,25.57051015,nan,nan,0.157849689,-0.020183341,nan,-0.014882098,-0.013766258,0.000670831,0.059848587,0.004454583,0.007206509,0.000480112,0.001318093,-0.003376867,-0.001153707,-0.000382322,-81.55289458,125.6396103,0.799323563,709,16590,467540,14383242,10224,231752,6207716,182427386,177518,3997640,103642344,2938610102,1,641.3991537,856.4203103,0,8,17,14,7,410.3330495,WT
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,1749,3024,1835,941,1779,887,1811.667238,916.8307604,1749,-1.48E-12,303996.3328,-1836846.657,1.69E-12,-89457.49743,1695885.947,-49280792.99,307745.9051,396750.1867,62516589.74,-500645186.1,1.901082859,2146,0.672792483,47.18999856,1,0.578373016,0.526015999,0.199981052,0.003422354,0.002886393,0.000149674,9.80E-08,6.18E-06,-9.09E-09,226.0424582,123.7244016,173.811511,51.14779727,51.14779727,175.9553488,60.1388338,68.01470429,17.02938637,5.963516669,5.099019514,46.95189027,44.49258844,nan,nan,0.099377651,-0.014358146,nan,-0.029244024,0.013256294,-0.009211031,0.100603401,0.003101292,0.011684923,-0.002237514,-0.008464941,-0.006928022,0.00162472,-0.001862317,-44.39970592,204.4091629,0.81500466,1749,57135,2170439,88926843,52174,1614923,60597073,2483280995,1864136,55955755,2100744345,86647139887,1,1811.667238,916.8307604,0,9,13,8,9,340.9066423,WT
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,1675,3174,928,1068,882,999,907.9898507,1038.863284,1675,-8.53E-14,157696.8275,-617181.4829,-3.58E-12,-25235.32418,434190.5295,-3202004.36,465221.6919,251740.8045,21343447.48,30386829.52,2.079958851,2169,0.816653547,46.18090772,1,0.527725268,0.480778742,0.222024868,0.012337984,0.001993752,0.00078836,8.09E-07,8.10E-05,-5.68E-07,278.9723758,92.91927758,94.14735968,15.06586518,15.06586518,277.7442937,66.80986464,68.0661443,16.2788206,5.622881473,5,43.54329877,38.55785836,nan,nan,0.056207379,-0.005374968,nan,-0.008994546,0.003781319,-0.000681361,0.165817489,0.002192384,0.004541718,0.000157991,-0.031678115,-0.000376703,0.000499559,-6.31E-05,-4.660116944,209.2375901,0.772245274,1675,43533,1289113,41083707,66771,1710133,50510743,1617245809,3126933,79508337,2327215927,74023925289,1,907.9898507,1038.863284,0,10,42,44,8,1403.065169,WT
