ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Iba1_nuc,Location_Center_Z
1,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,2992,6450,1895,403,1845,274,1871.090575,340.026738,2992,3.91E-12,342090.4542,-724395.6147,3.76E-11,-257710.246,-3144490.318,-65691927.62,3744833.861,6179574.277,470948437.3,1066477185,7.478099851,5427,0.956178171,61.72141215,-2,0.463875969,0.13372381,0.456534305,0.147796385,0.002829399,0.000226451,-1.76E-08,-2.13E-05,-1.80E-07,1258.101979,107.8486609,114.3350449,86.13310361,86.13310361,1251.615595,141.8789331,130.8166656,10.81665383,3.701323841,3.16227766,47.77906207,41.54008394,nan,nan,0.038213585,-0.001479353,nan,-0.028787802,-0.006421645,-0.002452603,0.41832072,0.012619861,0.017582823,0.000727924,0.016537957,-0.03023943,-0.003610629,-0.002778215,-4.306616801,530.2508294,0.551317487,2992,78063,2378799,79190511,197552,4896535,140472231,4390590427,16788548,410170909,11521982377,3.52E+11,1871.090575,340.026738,0,1,1,0
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,2238,4416,1895,465,1826,401,1868.547364,430.3905273,2238,4.37E-12,475008.4794,-3677383.24,-7.25E-12,-111932.3959,-288096.1502,-64198337.68,476764.6792,1809764.789,66880143.92,490387669.8,2.591472637,2953,0.617129783,53.38080274,1,0.506793478,0.38588098,0.190026115,0.001997828,0.001498988,6.22E-05,1.90E-08,-1.55E-07,-9.35E-10,262.6552366,162.6232078,212.246863,50.01447537,50.01447537,213.0315814,64.82656697,74.79304781,19.72308292,6.740016152,5.656854249,54.26588243,51.00952191,nan,nan,0.09483774,-0.015519892,nan,-0.022347844,-0.00121587,-0.005727216,0.095188374,0.007637864,0.005966463,0.00092476,0.001027337,-0.00334046,-0.000918542,-0.000734766,-44.77526442,269.9655121,0.757873349,2238,95221,4526411,229330189,65776,2686663,123220653,6031277323,2409956,97767535,4417070373,2.12E+11,1868.547364,430.3905273,0,2,2,0
1,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,12246,51084,1609,639,1437,342,1520.935081,487.3285971,12246,-8.73E-11,15667735.39,-118171055.1,4.66E-10,-2038003.765,-254786719.2,7603785221,50544257.73,655265461.7,61929953843,1.65E+12,35.29098241,35559,0.832519266,124.8682965,-7,0.239722809,0.02833585,0.441517733,0.054825298,0.021897908,0.001332179,-4.56E-06,-0.000207065,-5.57E-06,4137.10144,1269.724716,1279.416576,166.4219962,166.4219962,4127.409581,257.2812139,301.8227957,21.37755833,4.429146678,3.16227766,166.5547892,142.5327873,nan,nan,0.104476284,-0.007120746,nan,-0.013589907,-0.015352926,0.004140446,0.337041449,0.039484954,0.033722362,0.008118349,0.032227075,-0.029458911,-0.00375493,-0.000883855,-3.33294981,2330.418577,0.344385388,12246,1027869,101942003,11068484481,1779694,147340756,14218181540,1.51E+12,309184690,26014346956,2.51E+12,2.66E+14,1520.935081,487.3285971,0,3,3,0
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,3157,13888,1276,575,1164,451,1208.288882,508.2774786,3157,6.31E-12,2522650.54,44208296.03,3.47E-11,-1914324.061,-30162972.74,-2704647024,2528104.929,13326093.15,2545966250,65564131735,9.998986705,6981,0.928636933,63.40045144,0,0.227318548,0.100010134,0.506765661,0.147568431,0.035806245,0.011251275,0.000161026,0.002076585,0.000158335,1406.304636,193.5545553,799.0657395,606.3744252,606.3744252,800.7934522,150.0029139,150.6585544,16.2788206,3.946924478,3,59.70943025,55.64955422,nan,nan,0.253109198,0.078943672,nan,-0.192072989,-0.053862646,-0.085958108,0.253656463,0.023796681,0.080914974,0.037085597,0.027486616,-0.100644201,-0.025768626,-0.045127292,-44.95918752,629.8254685,0.452227475,3157,139820,8715122,653642048,180825,6094213,299450697,19461799429,12885305,364706533,14397030133,7.87E+11,1208.288882,508.2774786,0,4,4,0
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,10254,43901,1423,714,1116,571,1306.972596,629.1338014,10254,-5.82E-11,63519077.3,-3348282896,3.64E-12,-892385.4018,1192355166,-1.17E+11,10275280.42,-6312053.892,93015762518,-5.86E+12,32.37959128,33394,0.915700048,114.2619722,-1,0.233570989,0.030883651,0.701837438,0.256715741,0.199355526,0.115973069,0.016421998,0.043192217,-0.006424527,6196.023972,1000.617117,6194.56576,87.02802826,87.02802826,1002.075329,314.8593075,306.6528982,23.76972865,4.564058852,3,136.1296313,126.5301303,nan,nan,0.604112128,-0.314476981,nan,-0.008487227,0.111988223,-0.108441708,0.09772531,-0.00059284,0.08627334,-0.0536718,0.017256028,0.00326829,0.037727593,-0.025437855,-89.04006133,2042.618541,0.307061149,10254,1958233,437487917,1.04E+11,596104,112947143,26284348553,6.54E+12,44929072,8470153953,2.04E+12,5.26E+14,1306.972596,629.1338014,0,5,5,0
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,11203,43316,969,885,773,664,852.5579755,767.2872445,11203,-4.66E-10,22380873.09,571917939.4,-2.91E-11,-15322976.57,-358579679,-69814491894,27581855.65,-74551750.51,79321808451,1.97E+12,26.72107327,25005,0.875823045,119.4324186,-11,0.258634223,0.037423646,0.398086525,0.061339577,0.019378405,0.001714846,-7.62E-06,-0.000368629,6.30E-06,3617.19554,842.5678038,1997.757127,1367.756544,1367.756544,2462.006217,240.5725018,264.6979411,20.88061302,4.494584123,3.605551275,131.9806381,116.1080741,nan,nan,0.178323407,0.043052451,nan,-0.122088418,-0.026992918,-0.049652666,0.219763119,-0.005612056,0.056414351,0.013215145,0.04468651,-0.07124963,-0.00279414,-0.025952766,-40.1839997,1939.541377,0.448030394,11203,891288,93289942,11555030772,1157127,76735705,6838951379,7.47E+11,147098315,8462956343,6.60E+11,6.44E+13,852.5579755,767.2872445,0,6,6,0
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,8124,29700,1061,965,911,767,996.3026834,848.6248154,8124,-8.73E-11,7688992.702,-68218133.81,-3.78E-10,480266.579,89513171.74,-5958611507,17093742.44,127922524.9,18474990703,1.26E+11,23.9499057,22909,0.743140954,101.7044643,-3,0.273535354,0.041753818,0.375499537,0.020517363,0.006467585,0.007590787,3.35E-05,0.001078244,4.13E-05,2107.11525,943.4429897,946.4540499,-59.11700874,-59.11700874,2104.10419,183.6133002,204,18.02775638,4.19294184,3.16227766,146.5137328,122.8620683,nan,nan,0.116500991,-0.011467666,nan,0.007276835,0.015047424,-0.011113103,0.258998546,0.021504148,0.034456764,0.002606677,0.071497684,0.025171542,0.015481358,0.003330683,2.915778172,1563.65808,0.354620455,8124,692999,66803667,6942097343,663120,57046182,5624286212,5.94E+11,71220790,6281650368,6.38E+11,6.90E+13,996.3026834,848.6248154,0,7,7,0
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,3924,13696,693,931,565,824,632.0053517,869.0466361,3924,5.69E-11,3594578.888,-18507642.13,-1.36E-11,-716588.9794,19571500.82,-1182870965,1514076.466,-7765787.091,1552960808,-17099615830,13.78516888,9060,0.813500074,70.68374618,-1,0.286507009,0.07254173,0.331778781,0.026919941,0.002129575,0.001986956,1.99E-06,0.00011095,-3.57E-06,972.8611458,329.0387913,916.0496655,182.6169672,182.6169672,385.8502716,124.7628884,132.0037878,12,3.451311958,3,91.49512823,72.55770573,nan,nan,0.233447927,-0.019187951,nan,-0.046538473,0.020290915,-0.019577191,0.098330854,-0.008051244,0.025702389,-0.004517882,0.014993385,-0.015322384,0.010643802,-0.005824429,-72.71927036,824.4711755,0.433112583,3924,262929,21212229,1884537267,176763,11127478,879080468,77991533878,9476655,562660968,43465430322,3.85E+12,632.0053517,869.0466361,0,8,8,0
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,4622,17732,1893,991,1750,867,1817.175032,915.810688,4622,7.28E-12,4164539.399,49567145.57,-3.37E-11,-589348.8466,6567916.381,-2107828134,2451591.352,-37346274.64,2278326331,-18263513396,10.91415846,11312,0.691558004,76.71318776,-1,0.260658696,0.091624105,0.309702133,0.009473656,0.012508727,0.000117032,-5.08E-08,-4.34E-06,1.32E-07,940.6575239,490.7857368,901.0254,127.5094865,127.5094865,530.4178607,122.6805624,152.2793486,18.38477631,4.745059378,3.605551275,104.0147124,88.61473799,nan,nan,0.194942752,0.034128646,nan,-0.027587513,0.004522231,-0.021347419,0.114759381,-0.025714165,0.023074171,-0.002720693,0.002276888,-0.00831637,0.002388204,-0.004501377,-72.73386393,796.1869042,0.408592645,4622,310483,25021245,2289876229,225603,14565540,1148693044,1.03E+11,13463429,809526960,60847919196,5.28E+12,1817.175032,915.810688,0,9,9,0
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,12811,54524,958,1258,786,941,871.7918976,1065.782531,12811,-5.82E-11,17450901.2,-108626104.7,1.75E-10,-9384794.773,-1717106.85,-24677253726,81780186.13,-1541584154,1.16E+11,-4.93E+12,43.55725434,39084,0.897880861,127.7163725,-5,0.234960751,0.022958288,0.604618857,0.166712374,0.116989308,0.06559908,0.005535438,0.024406984,0.001543914,6488.279067,1257.493107,1362.181032,732.55755,732.55755,6383.591143,322.1994182,319.4761337,20.24845673,3.929458455,3,169.5837264,141.8445971,nan,nan,0.106329017,-0.005847586,nan,-0.057181918,-9.24E-05,-0.011736747,0.49828984,-0.082986923,0.055089835,-0.020705974,0.240316311,-0.104010361,0.035641156,-0.022460541,-8.13292654,2648.053137,0.327781189,12811,1099080,111743060,12472314912,1598589,127761189,12331585997,1.32E+12,281256167,20245799239,1.79E+12,1.79E+14,871.7918976,1065.782531,0,10,10,0
