ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Group,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Children_FilteredNuclei_Count,Children_Microglia_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MorphologicalSkeleton,ObjectSkeleton_NumberNonTrunkBranches_MorphologicalSkeleton,ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,ObjectSkeleton_TotalObjectSkeletonLength_MorphologicalSkeleton
1,1,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1215,1924,299,112,247,75,274.5160494,95.29547325,1215,-1.80E-12,193773.437,-619029.9622,3.47E-12,-17020.26173,562335.1195,-4530634.789,91730.9251,171968.637,10356625.21,5239143.505,1.539140039,1371,0.739816624,39.3317435,1,0.631496881,0.64971346,0.193401658,0.005309847,0.002014782,9.68E-05,3.92E-08,5.59E-06,-1.70E-08,161.7592389,73.22377522,159.4843103,14.00844587,14.00844587,75.49870379,50.87384222,51.03920062,13.92838828,5.318814659,5,35.295473,34.22835672,nan,nan,0.131262807,-0.012030148,nan,-0.011529585,0.010928348,-0.002525982,0.062138851,0.003342016,0.005774168,8.38E-05,-0.006308515,-0.001307167,0.000690243,-0.000163139,-80.77586753,153.2964646,0.886214442,1215,33432,1113690,40689078,24659,661498,22228540,829033378,592197,15776022,532814552,20052991986,1,1,274.5160494,95.29547325,0,1,7,3,4,110.4680385
1,2,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1163,1786,92,172,54,125,71.65004299,147.2914875,1163,-2.49E-12,89990.5675,129527.3344,3.50E-12,-19777.36457,17604.8996,-2671582.502,140180.1857,-176446.6705,6232419.476,-8275133.68,1.213926865,1218,0.659245377,38.48087305,1,0.651175812,0.823772856,0.170173021,0.002232141,0.000204273,5.11E-06,1.63E-10,2.33E-07,-2.23E-11,126.4288926,71.4823311,77.37796002,17.00547255,17.00547255,120.5332637,44.97624131,46.69047012,16.40121947,6.063289472,5.385164807,33.04079702,33.81888966,nan,nan,0.06653307,0.002808097,nan,-0.014622074,0.000381667,-0.001698359,0.103639952,-0.003825288,0.003962028,-0.000154257,0.001635894,-0.003080029,0.000208344,-0.000227603,-19.12092471,133.1959595,0.954844007,1163,20527,452293,11289193,25925,437800,9401746,231430132,718087,11616086,238082036,5635724822,1,1,71.65004299,147.2914875,0,2,7,0,7,44.04163116
1,3,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1119,1870,459,254,425,199,441.8132261,225.8865058,1119,-1.37E-12,63203.96425,-25627.15544,1.07E-12,48597.27971,-67679.87943,6642327.913,231928.5862,-225475.0822,10978370.78,-18018071.52,1.663710889,1331,0.891632104,37.7459276,1,0.598395722,0.60106597,0.235698565,0.024181776,0.000356348,5.41E-05,-2.38E-09,-6.36E-06,7.12E-09,218.8783428,44.86835113,56.48254178,-43.42920439,-43.42920439,207.2641521,59.1781504,54.23098745,12.04159458,4.798171212,4.472135955,27.97704295,26.79353687,nan,nan,0.050475909,-0.000611822,nan,0.038810728,-0.001615788,0.004740564,0.185222656,-0.005382987,0.007835156,-0.000384417,0.005873912,0.009051274,-0.000323163,0.000962743,14.97214125,152.9533188,0.840721262,1119,18814,379528,8480788,30086,554440,11770656,272460436,1040836,19887558,427547906,9967222398,1,1,441.8132261,225.8865058,0,3,16,11,5,431.8894005
1,4,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1265,1806,115,432,73,389,94.25296443,411.1359684,1265,1.48E-12,119155.0514,-45636.44497,6.25E-13,25552.49012,298299.9323,4931552.054,151954.6134,180166.311,10353590.33,41090673.94,1.230905849,1320,0.60497579,40.13287959,1,0.700442968,0.812409821,0.169419716,0.001440036,0.000563236,5.76E-06,-2.71E-10,-1.74E-07,-1.85E-10,131.1599617,83.15597886,94.19371651,-20.19959693,-20.19959693,120.1222241,45.81003588,46.87216658,16.2788206,6.264091215,5.830951895,36.3027344,36.47596005,nan,nan,0.074461436,-0.000801836,nan,0.015968061,0.005241153,0.002436195,0.09495828,0.003165536,0.005114691,0.000570724,-0.005658272,0.003005573,0.00053895,0.000395369,28.65367306,139.882251,0.958333333,1265,26885,690541,19695203,28002,620678,16670226,494548514,771806,17714590,486305222,14648032438,1,1,94.25296443,411.1359684,0,4,11,12,7,358.2914205
1,5,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1452,2279,675,500,632,447,652.6838843,475.6453168,1452,1.78E-12,136417.9029,74850.39108,1.30E-11,-7307.799587,467065.3808,-686268.1087,231258.3382,-168626.7731,13624018.68,-6944476.74,1.3483671,1544,0.64338577,42.99702105,1,0.637121545,0.741637793,0.174394319,0.002071639,0.000903493,3.64E-05,6.23E-09,1.42E-06,-2.21E-09,159.6543571,93.56619458,93.95172376,5.032919826,5.032919826,159.2688279,50.54176208,52.61178575,18.35755975,6.560808889,5.830951895,39.21224299,38.69184815,nan,nan,0.064705044,0.000931703,nan,-0.003466198,0.005813814,-0.000224179,0.109689275,-0.002098988,0.004450465,-5.95E-05,-0.011734566,-0.000576559,0.000599043,-7.61E-05,-4.380387903,156.8528137,0.940414508,1452,30033,757617,21388617,41593,852997,21866937,631600285,1422703,28839729,736690841,21302697621,1,1,652.6838843,475.6453168,0,5,14,11,5,324.8061366
1,6,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1124,1850,80,874,43,824,60.01868327,850.0507117,1124,-7.50E-13,77884.60765,104249.5743,1.53E-12,44101.93505,244277.3788,6555611.057,170736.1094,122182.0644,9470760.981,38888769.87,1.366978465,1228,0.824600547,37.83016321,1,0.607567568,0.73154042,0.196790755,0.010275753,0.000827933,5.39E-05,-6.97E-09,-4.00E-06,8.99E-09,167.5660015,53.62680728,69.29235556,-39.23659702,-39.23659702,151.9004532,51.77891486,49.81967483,13,5.427033868,5,30.06086865,29.29213062,nan,nan,0.061648003,0.002461266,nan,0.034908004,0.005767233,0.004616515,0.135142752,0.00288464,0.006669387,0.00081685,-0.010797838,0.008107721,0.000714092,0.000878338,21.76477958,138.9533188,0.915309446,1124,19129,403435,9621169,29281,542426,12255160,307986218,933527,18307356,427805090,10987402692,1,1,60.01868327,850.0507117,0,6,11,5,6,226.9949536
1,7,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1098,1763,1174,878,1133,835,1154.149362,857.2140255,1098,2.64E-12,115773.5046,-149372.311,2.73E-12,-64918.10018,85961.93157,-13205866.88,118064.704,53943.30882,12756429.47,-13896028.13,1.331425972,1159,0.845041936,37.39006579,1,0.622802042,0.751074428,0.193959383,0.011601589,0.000169288,9.00E-06,-3.39E-10,-9.38E-07,9.17E-11,165.6168596,47.35054351,105.4403502,59.12395281,59.12395281,107.5270528,51.47688562,50.24937811,13,5.506578051,5,27.40500835,27.52469248,nan,nan,0.096029463,-0.003739076,nan,-0.053846952,0.002151792,-0.009976079,0.097929921,0.001350305,0.009636562,-0.000316798,-0.003965966,-0.010405205,-7.06E-05,-0.001677195,-44.49450756,135.5391052,0.947368421,1098,23222,606904,17583332,24391,450936,10821790,295732110,659887,11125948,249154390,6446833498,1,1,1154.149362,857.2140255,0,7,11,8,5,238.0660205
1,8,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,2039,3483,219,884,138,841,176.9239823,862.5164296,2039,-1.11E-11,1016095.217,180281.4249,-3.95E-12,170467.0466,-359835.7438,132852300.9,162663.1996,-227400.8515,87717197.08,-347490084,1.86414501,2500,0.936044624,50.95228583,1,0.585414872,0.536438954,0.283524345,0.048862204,5.22E-05,4.44E-06,-3.37E-11,-7.99E-07,5.85E-11,514.4114728,63.69466589,498.3301703,-83.60325973,-83.60325973,79.77596842,90.72256371,80.89499366,15.62049935,5.972417024,5.656854249,33.80190669,31.92357521,nan,nan,0.244399299,0.000960302,nan,0.041002089,-0.001916731,0.015671747,0.039125046,-0.001211292,0.010347444,-0.000907783,-0.000174673,0.004483325,-0.000374742,0.001544921,79.11199293,218.5512986,0.8156,2039,79366,4105336,239077252,43872,1878140,101242850,6009734246,1106632,50182808,2772638006,1.66388E+11,1,1,176.9239823,862.5164296,0,8,35,32,7,902.5777894
1,9,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1264,1760,779,1200,735,1160,756.0640823,1179.887658,1264,-1.16E-12,160289.8093,105885.4588,-3.02E-12,55045.09968,-33949.00645,12841853.69,121940.0475,-82943.49026,13647109.95,-15097050.07,1.202870163,1319,0.764613846,40.11701365,1,0.718181818,0.831344921,0.176648034,0.005324133,4.02E-05,1.80E-06,-1.36E-11,-1.06E-07,6.99E-12,157.7564865,65.52662807,126.811558,-43.54833836,-43.54833836,96.47155654,50.24045963,50.44799302,15.5241747,6.250393078,5.830951895,32.0840789,32.37940779,nan,nan,0.1003256,0.001864098,nan,0.034452799,-0.000597667,0.006358966,0.076322434,-0.001460208,0.006757709,-0.00021027,-0.000679817,0.005681268,-8.19E-05,0.000913433,54.60285406,138.2253967,0.958301744,1264,26625,721121,22048353,25138,584554,16626408,522456448,621876,15205740,440360730,13936875186,1,1,756.0640823,1179.887658,0,9,15,15,5,445.8894007
1,10,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/121-1-5_slice1.tif,0,121-1-5,TdT,0,slice1.tif,1883,2860,236,1235,192,1170,212.3648433,1199.191715,1883,2.67E-12,183180.3526,100189.1606,-8.34E-12,-14204.70844,-762028.5516,-4082989.058,483283.7908,130329.4007,31970496.58,7414120.777,1.355529404,2031,0.789226774,48.96437545,1,0.658391608,0.73771915,0.187964636,0.007227952,0.000811289,7.64E-05,1.71E-08,5.88E-06,-8.28E-09,257.0125536,96.92485657,97.28112195,7.543658228,7.543658228,256.6562882,64.1264443,64.12487817,19.41648784,7.125665902,6.403124237,42.73478697,39.38016893,nan,nan,0.051662837,0.000651171,nan,-0.004006191,-0.004952739,-0.000611543,0.136301799,0.000847065,0.004788488,2.56E-05,0.013562138,-0.000181807,-0.000407072,-3.71E-05,-2.703906564,179.0954544,0.927129493,1883,38347,964111,27195037,54968,1105210,26803472,725557792,2087894,41820644,981014974,25390663394,1,1,212.3648433,1199.191715,0,10,25,17,10,555.8010896
