Mouse,Slice,Soma_Area_microns2,Soma_MajorAxisLength_microns,Roundness,Object_Number,NumberBranchEnds,NumberNonTrunkBranches,NumberTrunks,TotalObjectSkeletonLength_microns,AverageBranchLength_microns,Virus
169-5-4,slice1,65.2239,13.43078757,0.460377322,1,2,0,2,0.716984843,0.358492422,Cyr61
169-5-4,slice1,34.4862,7.387935832,0.804468849,2,0,0,0,0,0,Cyr61
169-5-4,slice1,35.6328,7.71232973,0.762761723,3,0,0,0,0,0,Cyr61
169-5-4,slice1,67.8699,11.52388909,0.650712558,4,8,5,3,46.7929099,5.849113737,Cyr61
169-5-4,slice1,62.2692,12.1088427,0.540727092,5,8,9,5,66.5864252,4.756173229,Cyr61
169-5-4,slice1,66.591,11.12370112,0.68521527,6,8,5,7,24.77637905,2.064698254,Cyr61
169-5-4,slice1,31.2669,8.209635993,0.590673029,7,2,1,1,3.881909183,1.940954592,Cyr61
169-5-4,slice1,49.3479,9.167542584,0.747606249,8,3,0,3,7.496681766,2.498893922,Cyr61
169-5-4,slice1,54.7722,12.52006142,0.444894857,9,2,0,2,2.534924253,1.267462126,Cyr61
169-5-4,slice1,46.8783,9.70095711,0.634238795,10,6,4,6,23.7114549,2.37114549,Cyr61
169-5-4,slice1,43.4385,11.02245168,0.455227544,11,9,10,5,67.63642546,4.509095031,Cyr61
169-5-4,slice1,91.3311,20.17870727,0.285589428,12,22,17,7,109.2091836,4.550382649,Cyr61
169-5-4,slice1,53.4051,10.12438615,0.663369423,13,6,4,5,29.1081367,3.234237411,Cyr61
169-5-4,slice1,54.5517,10.77326735,0.598444022,14,4,0,5,7.031909171,1.406381834,Cyr61
169-5-4,slice1,63.063,10.2602421,0.762727717,15,3,1,2,6.872863737,2.290954579,Cyr61
169-5-4,slice1,66.8115,10.18352843,0.82028502,16,19,15,10,104.973153,4.19892612,Cyr61
169-5-4,slice1,56.007,15.65053628,0.291134707,17,3,0,3,2.831909108,0.943969703,Cyr61
169-5-4,slice1,47.6721,10.78485803,0.521849819,18,4,1,3,15.70160629,3.925401573,Cyr61
169-5-4,slice1,72.6768,13.56778233,0.502676035,19,11,5,6,67.0002433,6.090931209,Cyr61
169-5-4,slice1,65.7972,10.36420508,0.779911879,20,4,0,4,8.777787977,2.194446994,Cyr61
169-5-4,slice1,64.1214,11.38815037,0.629515937,21,6,2,4,13.13065165,2.188441942,Cyr61
169-5-4,slice1,63.7245,14.18911464,0.403000848,22,3,1,2,5.417787877,1.805929292,Cyr61
169-5-4,slice1,63.3717,13.25051565,0.459557563,23,9,8,5,64.69642531,4.976648101,Cyr61
169-5-4,slice1,54.7281,9.283826669,0.808474716,24,4,0,4,3.968894026,0.992223507,Cyr61
169-5-4,slice1,40.9248,7.870242506,0.841241047,25,7,6,1,74.19119838,10.59874263,Cyr61
169-5-4,slice1,59.9319,11.87193118,0.541408942,26,4,1,3,23.38718217,5.846795543,Cyr61
169-5-4,slice1,37.044,9.492755797,0.52341164,27,6,1,5,27.68034881,4.613391469,Cyr61
169-5-4,slice1,54.2871,10.2612478,0.656457191,28,4,0,4,13.8836669,3.470916724,Cyr61
169-5-4,slice1,48.6423,8.836868336,0.793099091,29,6,2,4,31.99100047,5.331833411,Cyr61
169-5-4,slice1,38.367,9.671340868,0.522269399,30,20,19,6,127.7936531,5.111746123,Cyr61
169-5-4,slice1,66.2382,11.71428787,0.614591934,31,7,2,5,18.70748511,2.672497873,Cyr61
169-5-4,slice1,37.3527,9.893222577,0.485910807,32,0,0,2,4.649848518,2.324924259,Cyr61
169-5-4,slice1,70.9569,13.61205987,0.487592538,33,12,5,7,52.22562202,4.352135168,Cyr61
